label,phrase
eng,"Hello, how are you today?"
other,"Hola, com estàs avui?"
eng,The weather is beautiful
other,El temps és preciós
eng,I love reading books in the park
other,M'encanta llegir llibres al parc
eng,Could you please help me?
other,"¿Podrías ayudarme, por favor?"
eng,What time is the next train?
other,À quelle heure est le prochain train?
eng,This coffee is delicious
other,Aquest cafè és deliciós
eng,I need to buy some groceries
other,He de comprar algunes provisions
eng,The museum opens at 9 AM
other,Le musée ouvre à 9h
eng,Where is the nearest hospital?
other,Dove si trova l'ospedale più vicino?
eng,My favorite color is blue
other,Mi color favorito es el azul
eng,The concert was amazing
other,El concert va ser increïble
eng,Please pass me the salt
other,Passez-moi le sel s'il vous plaît
eng,I work as a software engineer
other,Treballo com a enginyer de software
eng,The children are playing in the garden
other,Los niños están jugando en el jardín
eng,What's your favorite movie?
other,Qual è il tuo film preferito?
eng,I need to schedule an appointment
other,Je dois prendre un rendez-vous
eng,The restaurant is closed on Mondays
other,El restaurant està tancat els dilluns
eng,Can you recommend a good book?
other,¿Puedes recomendar un buen libro?
eng,I lost my keys yesterday
other,Ho perso le chiavi ieri
eng,The flowers smell wonderful
other,Les fleurs sentent merveilleux
eng,My sister lives in Barcelona
other,La meva germana viu a Barcelona
eng,The exam will be next week
other,L'examen será la semana próxima
eng,I need to practice my Spanish
other,He de practicar el meu espanyol
eng,The movie starts in 10 minutes
other,La película empieza en 10 minutos
eng,Do you speak English?
other,Parlez-vous anglais?
eng,The cake is very sweet
other,El pastís és molt dolç
eng,I usually wake up at 7 AM
other,Normalmente me despierto a las 7
eng,The car needs to be repaired
other,La voiture doit être réparée
eng,What's the price of this shirt?
other,Quanto costa questa camicia?
eng,The meeting is tomorrow morning
other,La reunió és demà al matí
eng,I love Italian food
other,J'adore la cuisine italienne
eng,The beach is very crowded today
other,La playa está muy llena hoy
eng,Could you speak more slowly?
other,Podries parlar més a poc a poc?
eng,My phone battery is low
other,La batterie de mon téléphone est faible
eng,The concert begins at 8 PM
other,Il concerto inizia alle 20:00
eng,I need to buy a new laptop
other,Necessito comprar un nou portàtil
eng,The hotel is fully booked
other,L'hôtel est complet
eng,Can you show me the way to the station?
other,¿Me puedes mostrar el camino a la estación?
eng,The food was delicious
other,Il cibo era delizioso
eng,I have a headache
other,Tinc mal de cap
eng,The party is on Saturday
other,La festa és dissabte
eng,What's the weather forecast for tomorrow?
other,Quel temps fera-t-il demain?
eng,I forgot my password
other,He oblidat la meva contrasenya
eng,The museum is closed today
other,El museo está cerrado hoy
eng,Can you help me with my luggage?
other,Peux-tu m'aider avec mes bagages?
eng,The traffic is very heavy
other,El trànsit és molt dens
eng,I need to call my doctor
other,Devo chiamare il mio medico
eng,The book is very interesting
other,El llibre és molt interessant
eng,What time do you usually have dinner?
other,¿A qué hora sueles cenar?
eng,The window is broken
other,La fenêtre est cassée
eng,I like to swim in the ocean
other,M'agrada nedar a l'oceà
eng,The taxi will arrive in 5 minutes
other,Le taxi arrivera dans 5 minutes
eng,Can you recommend a good restaurant?
other,Puoi consigliare un buon ristorante?
eng,The flight is delayed
other,El vol està retardat
eng,I need to buy a birthday present
other,He de comprar un regal d'aniversari
eng,The garden needs watering
other,El jardín necesita riego
eng,What's your phone number?
other,Quel est ton numéro de téléphone?
eng,I lost my wallet
other,Ho perdut la cartera
eng,The class starts at 10 AM
other,La classe commence à 10h
eng,Can you take a photo of us?
other,¿Puedes sacarnos una foto?
eng,The milk is expired
other,La llet està caducada
eng,I need to send this package
other,Necessito enviar aquest paquet
eng,The door is locked
other,La porta està tancada
eng,What time does the store open?
other,A quelle heure le magasin ouvre-t-il?
eng,I have a doctor's appointment
other,Tengo cita con el médico
eng,The internet is not working
other,Internet no funciona
eng,Can you help me find my keys?
other,Pots ajudar-me a trobar les claus?
eng,The movie was boring
other,La película era aburrida
eng,I need to buy new shoes
other,J'ai besoin d'acheter de nouvelles chaussures
eng,The water is too cold
other,L'aigua és massa freda
eng,What's your favorite food?
other,¿Cuál es tu comida favorita?
eng,I forgot my umbrella
other,He dimenticat el paraigua
eng,The bus is late
other,L'autobus té retard
eng,Can you pass me the menu?
other,¿Me puedes pasar el menú?
eng,The coffee is too hot
other,Le café est trop chaud
eng,I need to practice my French
other,Necesito practicar mi francés
eng,The bathroom is upstairs
other,Il bagno è al piano di sopra
eng,What time is checkout?
other,¿A qué hora es el check-out?
eng,I lost my passport
other,J'ai perdu mon passeport
eng,The printer is not working
other,La impressora no funciona
